Time,Username,Emotion
11:29:43,abc234,Sad
11:33:33,abc234,Neutral
11:33:33,abc234,Neutral
11:33:34,abc234,Sad
11:33:35,abc234,Sad
11:33:36,abc234,Neutral
11:33:37,abc234,Sad
11:33:37,abc234,Neutral
11:33:38,abc234,Neutral
11:46:19,abc234,Neutral
11:46:48,abc234,Sad
11:47:11,abc234,Neutral
11:51:16,abc234,Sad
11:54:26,abc234,Sad
11:59:14,abc234,Neutral
12:00:08,abc234,Surprised
12:00:37,abc234,Sad
12:22:55,abc234,Sad
12:23:30,abc234,Sad
12:31:39,abc234,Neutral
12:37:55,abc234,Sad
12:39:10,abc234,Sad
14:39:16,abc234,Surprised
14:46:02,abc234,Sad
14:48:27,mohsin123,Neutral
